The Creator,2023,Horror
The Matrix,1999,Action
The Truman Show,1998,Comedy
Teenage Mutant Ninja Turtles: Mutant Mayhem,2023,Action
The Thing,1982,Horror
Up,2009,Comedy
Kick-Ass,2010,Action
The Wolf of Wall Street,2013,Comedy
Totally Killer,2023,Horror
Kill Bill: Vol. 1,2003,Action
Aliens,1986,Action
